abbassare,abbasso,abbassi,abbassa,abbassiamo,abbassate,abbassano
spaventare,spavento,spaventi,spaventa,spaventiamo,spaventate,spaventano
spiegare,spiego,spieghi,spiega,spieghiamo,spiegate,spiegano
spingere,spingo,spingi,spinge,spingiamo,spingete,spingono
spostare,sposto,sposti,sposta,spostiamo,spostate,spostano
stampare,stampo,stampi,stampa,stampiamo,stampate,stampano
stare,sto,stai,sta,stiamo,state,stanno
studiare,studio,studii,studia,studiamo,studiate,studiano
succedere,succedo,succedi,succede,succediamo,succedete,succedono
suonare,suono,suoni,suona,suoniamo,suonate,suonano
supporre,suppongo,supponi,suppone,supponiamo,supponete,suppongono
svuotare,svuoto,svuoti,svuota,svuotiamo,svuotate,svuotano
tagliare,taglio,tagli,taglia,tagliamo,tagliate,tagliano
telefonare,telefono,telefoni,telefona,telefoniamo,telefonate,telefonano
tenere,tengo,tieni,tiene,teniamo,tenete,tengono
tentare,tento,tenti,tenta,tentiamo,tentate,tentano
tirare,tiro,tiri,tira,tiriamo,tirate,tirano
toccare,tocco,tocchi,tocca,tocchiamo,toccate,toccano
trovare,trovo,trovi,trova,troviamo,trovate,trovano
unire,unisco,unisci,unisce,uniamo,unite,uniscono
usare,uso,usi,usa,usiamo,usate,usano
vedere,vedo,vedi,vede,vediamo,vedete,vedono
vendere,vendo,vendi,vende,vendiamo,vendete,vendono
venire,vengo,vieni,viene,veniamo,venite,vengono
vestire,vesto,vesti,veste,vestiamo,vestite,vestono
viaggiare,viaggio,viaggi,viaggia,viaggiamo,viaggiate,viaggiano
vincere,vinco,vinci,vince,vinciamo,vincete,vincono
visitare,visito,visiti,visita,visitiamo,visitate,visitano
vivere,vivo,vivi,vive,viviamo,vivete,vivono
volare,volo,voli,vola,voliamo,volate,volano
volere,voglio,vuoi,vuole,vogliamo,volete,vogliono
votare,voto,voti,vota,votiamo,votate,votano
